frame,time,rx,ry,rz,px,py,pz
289,2.408088,0.743033,-0.051887,0.364635,-0.440591,0.064224,0.634881
290,2.416421,0.830596,-0.02399,0.440349,-0.440589,0.064178,0.634864
291,2.424753,0.526513,-0.019993,0.253468,-0.440579,0.064185,0.634845
292,2.433086,0.50625,-0.029687,0.301147,-0.440554,0.06419,0.634849
293,2.441418,0.594808,-0.01192,0.375815,-0.440577,0.06427,0.634843
294,2.449751,0.573151,0.005326,0.361946,-0.440551,0.064316,0.634851
295,2.458083,0.496764,-0.020308,0.343456,-0.440582,0.064224,0.634891
296,2.466416,0.489026,-0.019648,0.284081,-0.440555,0.064211,0.634895
297,2.474748,0.474203,-0.016105,0.365779,-0.440568,0.064259,0.634891
298,2.483081,0.688166,0.012887,0.348492,-0.44059,0.064265,0.63491
299,2.491413,0.631616,-0.012624,0.377584,-0.440548,0.064258,0.634888
300,2.499746,0.618371,-0.002806,0.343573,-0.440602,0.064266,0.6349
301,2.508078,0.558669,0.009539,0.269078,-0.440575,0.064232,0.634901
302,2.516411,0.704077,0.01946,0.371218,-0.440566,0.064169,0.634883
303,2.524743,0.619944,-0.015264,0.281769,-0.440549,0.064191,0.634856
304,2.533075,0.571659,-0.04003,0.287611,-0.440566,0.064254,0.634876
305,2.541408,0.692976,0.016838,0.366984,-0.44056,0.064212,0.634861
306,2.54974,0.66857,0.015072,0.334905,-0.440544,0.064189,0.634844
307,2.558073,0.61158,0.013289,0.37592,-0.440535,0.064172,0.634855
308,2.566405,0.769004,0.033913,0.373213,-0.440577,0.064224,0.634867
309,2.574738,0.672907,-0.000478,0.36843,-0.440523,0.064167,0.634839
310,2.58307,0.636467,-0.006159,0.269366,-0.440531,0.064198,0.634831
311,2.591403,0.793483,-0.037413,0.374406,-0.440575,0.064268,0.634894
312,2.599735,0.417753,-0.021386,0.368073,-0.440561,0.064378,0.634843
313,2.608068,0.553226,-0.000622,0.318146,-0.440568,0.064305,0.634877
314,2.6164,0.535261,-0.006705,0.264454,-0.44056,0.064308,0.634876
315,2.624733,0.588169,-0.017906,0.286271,-0.440557,0.064357,0.634869
316,2.633065,0.614211,-0.007128,0.315313,-0.440516,0.064257,0.63487
317,2.641398,0.720429,0.000834,0.30074,-0.440558,0.064319,0.634901
318,2.64973,0.767545,0.011527,0.377952,-0.440553,0.064267,0.634881
319,2.658063,0.562906,-0.002298,0.361219,-0.440531,0.06423,0.634887
320,2.666395,0.747007,0.006747,0.305536,-0.440555,0.064284,0.634894
321,2.674728,0.664336,0.004024,0.304034,-0.440545,0.064304,0.634903
322,2.68306,0.744851,0.032165,0.327883,-0.44058,0.064286,0.634909
323,2.691393,0.648619,-0.013498,0.35619,-0.440549,0.064316,0.634903
324,2.699725,0.590871,-0.004227,0.35269,-0.440544,0.0643,0.63489
325,2.708058,0.580885,0.005333,0.24245,-0.440561,0.064241,0.6349
326,2.71639,0.410751,-0.003673,0.231325,-0.440547,0.064268,0.634899
327,2.724723,0.63962,0.013094,0.305524,-0.440515,0.064265,0.634891
328,2.733055,0.442833,-0.021704,0.184862,-0.440548,0.064324,0.634883
329,2.741388,0.638821,-0.008375,0.346351,-0.440555,0.06437,0.634862
330,2.74972,0.636659,-0.026874,0.265001,-0.440544,0.064342,0.63487
331,2.758053,0.606,-0.009731,0.299077,-0.44053,0.064333,0.634875
332,2.766385,0.74226,0.000235,0.299645,-0.440548,0.064385,0.634866
333,2.774718,0.624156,-0.050343,0.302117,-0.440548,0.064447,0.634872
334,2.78305,0.703961,-0.011407,0.326845,-0.440558,0.06445,0.634887
335,2.791383,1.082559,0.025912,0.621097,-0.440565,0.064628,0.634863
336,2.799715,0.766855,-0.017112,0.264285,-0.440514,0.064431,0.63488
337,2.808048,0.891072,0.025471,0.602544,-0.440579,0.064632,0.634893
338,2.81638,0.944393,0.025624,0.640125,-0.440529,0.064552,0.6349
339,2.824712,0.647603,-0.037195,0.303472,-0.440529,0.064404,0.63491
340,2.833045,1.008341,0.036995,0.676705,-0.440543,0.064579,0.634915
341,2.841377,0.837376,-0.015599,0.553652,-0.440535,0.064524,0.634925
342,2.84971,1.082236,0.051318,0.729157,-0.44053,0.064567,0.63493
343,2.858042,1.036121,0.051589,0.559257,-0.440543,0.064557,0.63494
344,2.866375,1.035555,0.028065,0.662784,-0.440567,0.064523,0.634976
345,2.874707,0.998351,0.004028,0.584786,-0.44053,0.064527,0.634925
346,2.88304,0.889801,0.02424,0.575427,-0.440547,0.064543,0.634917
347,2.891372,0.721873,-0.000013,0.267836,-0.440533,0.064357,0.634912
348,2.899705,0.639076,-0.019269,0.250479,-0.440527,0.064316,0.634903
349,2.908037,0.699609,-0.010016,0.330136,-0.440552,0.064437,0.634859
350,2.91637,0.724447,-0.020791,0.28036,-0.440529,0.064387,0.63488
351,2.924702,0.740865,0.01196,0.337512,-0.440543,0.064442,0.634874
352,2.933035,0.535748,-0.015796,0.327133,-0.440502,0.064398,0.63487
