tiempo_s,presion_psi,presion_kPa,desplazamiento_mm
4.41,0.769623025,5.306363964609046,0.1834291519653301
4.42,0.7729703499999999,5.3294429580654,0.1845151272997139
4.43,0.7763314499999999,5.352616926803468,0.1856124496165631
4.44,0.7796925499999999,5.375790895541536,0.1867393567120012
4.45,0.7830674249999999,5.399059839561318,0.1878492341136192
4.46,0.7864423,5.422328783581101,0.1889602880794626
4.47,0.7898309499999999,5.445692702882594,0.1900827564128412
4.48,0.7932196,5.46905662218409,0.191206419244711
4.49,0.796622025,5.492515516767298,0.1923415304967927
4.5,0.8000244499999999,5.515974411350506,0.1934778543331391
4.51,0.803426875,5.539433305933715,0.1946153917565593
4.52,0.806843075,5.562987175798637,0.1957644210156692
4.53,0.8102592750000001,5.586541045663559,0.1969146821132299
4.54,0.81368925,5.610189890810194,0.1980764696577842
4.55,0.817133,5.633933711238543,0.1992498092793138
4.56,0.820562975,5.657582556385178,0.2004141065605551
4.57,0.8240204999999999,5.681421352095239,0.2016002928255285
4.58,0.8274642499999999,5.7051651725235875,0.202748788304843
4.59,0.830921775,5.729003968233649,0.2039375238948127
4.6,0.8343930749999999,5.752937739225425,0.2051378913101625
4.61,0.837864375,5.776871510217201,0.2063108654123284
4.62,0.84134945,5.8009002564906895,0.2075241902455076
4.63,0.84482075,5.824834027482464,0.2086997394690961
4.64,0.8483196,5.848957749037666,0.2099260680613564
4.65,0.8518184499999999,5.873081470592868,0.2111249754861905
4.66,0.8553173,5.89720519214807,0.2123539777672814
4.67,0.858829925,5.921423888984987,0.2135659301814276
4.68,0.8623425499999998,5.945642585821901,0.2148080299570203
4.69,0.865855175,5.969861282658817,0.216022663625601
4.7,0.8693815749999999,5.994174954777446,0.2172490591051403
4.71,0.8729217499999999,6.018583602177788,0.2185161091051668
4.72,0.876461925,6.0429922495781305,0.219755680587385
4.73,0.8800020999999999,6.067400896978473,0.2209966237995975
4.74,0.8835560499999999,6.091904519660528,0.2222783188023775
4.75,0.8871100000000001,6.116408142342586,0.2235325056278554
4.76,0.890677725,6.141006740306354,0.224798564907694
4.77,0.89424545,6.165605338270123,0.2260660354199765
4.78,0.8978269499999999,6.190298911515605,0.2273454157617447
4.79,0.9014084499999999,6.214992484761087,0.2286262273263515
4.8,0.9049899499999999,6.23968605800657,0.2299084713574339
4.81,0.9085852249999999,6.264474606533766,0.2312026729306655
4.82,0.9121805,6.2892631550609615,0.232498327140232
4.83,0.91578955,6.314146678869871,0.2338059768637883
4.84,0.9193986,6.339030202678781,0.2351150995586623
4.85,0.923021425,6.364008701769403,0.2364362560255519
4.86,0.92664425,6.388987200860026,0.2377589059648577
4.87,0.930267075,6.413965699950649,0.2390830506887995
4.88,0.9339036749999999,6.439039174322984,0.2403901207316796
4.89,0.9375402749999999,6.464112648695321,0.2417278460826646
4.9,0.94119065,6.4892810983493705,0.2430776928506883
4.91,0.944841025,6.5144495480034195,0.2444290759295736
4.92,0.948505175,6.539712972939182,0.2457633920598832
